施設名,施設名ふりがな,緯度,経度,EPSGコード
JR相原駅,じぇいあーるあいはらえき　,35.606865,139.331665,EPSG:4326
京王多摩境駅,けいおうたまさかいえき,35.6016906,139.3655455,EPSG:4326
JR町田駅,じぇいあーるまちだえき　,35.544402,139.445559,EPSG:4326
小田急町田駅,おだきゅうまちだえき,35.5440613,139.4429512,EPSG:4326
小田急玉川学園前駅,おだきゅうたまがわがくえんまええき,35.5634993,139.4612247,EPSG:4326
小田急鶴川駅,おだきゅうつるかわえき,35.583504,139.4795099,EPSG:4326
JR成瀬駅,じぇいあーるなるせえき,35.5355167,139.4707216,EPSG:4326
東急つくし野駅,とうきゅうつくしのえき,35.5277506,139.482504,EPSG:4326
東急すずかけ台駅,とうきゅうすずかけだいえき,35.5169196,139.4792544,EPSG:4326
東急南町田駅,とうきゅうみなみまちだえき,35.5112732,139.4677955,EPSG:4326
